text,specialist
"Abdominal Aortic Aneurysm (AAA): An enlargement of the aorta, the main blood vessel that delivers blood to the body, at the level of the abdomen. Risk factors include smoking and atherosclerosis. Often asymptomatic until rupture; symptoms may include a pulsating feeling near the navel or deep back pain. Diagnosis is via abdominal ultrasound or CT. Treatment depends on size; surveillance for small AAAs, endovascular repair (EVAR) or open surgery for large ones.",Vascular Surgeon
"Obstructive Sleep Apnea (OSA): A sleep disorder where throat muscles intermittently relax and block the airway during sleep. Risk factors include obesity and neck circumference. Symptoms include loud snoring, gasping for air during sleep, and excessive daytime sleepiness. Diagnosis is confirmed by Polysomnography (sleep study). Treatment involves weight loss and Continuous Positive Airway Pressure (CPAP) therapy.",Pulmonologist
"Autism Spectrum Disorder (ASD): A developmental disability caused by differences in the brain. Characteristics include challenges with social communication, restricted interests, and repetitive behaviors. Signs often appear in early childhood. Diagnosis is based on developmental monitoring and comprehensive behavioral evaluation. Treatment focuses on behavioral therapies (e.g., ABA), speech therapy, and occupational therapy.",Psychiatrist
"Acute Lymphoblastic Leukemia (ALL): A cancer of the blood and bone marrow that affects white blood cells. It is the most common childhood cancer. Caused by DNA mutations in bone marrow cells. Symptoms include pale skin, frequent infections, bruising, and bone pain. Diagnosis involves Complete Blood Count (CBC) and bone marrow aspiration. Treatment typically consists of chemotherapy, targeted drugs, and stem cell transplantation.",Oncologist
"Urticaria (Hives): A skin reaction that causes itchy welts. Can be triggered by food, medication, or stress, leading to histamine release. Symptoms are raised, red or skin-colored welts (wheals) that turn white when pressed and severe itching. Diagnosis is clinical; allergy testing is used for recurrent cases. Treatment involves oral antihistamines and avoiding triggers; severe cases may require corticosteroids.",Dermatologist
"Cluster Headache: A neurological disorder characterized by recurrent, severe headaches on one side of the head, typically around the eye. Attacks occur in clusters (cycles). Symptoms include intense burning/piercing pain, tearing, and nasal congestion on the affected side. Diagnosis is based on distinct clinical patterns. Treatment includes high-flow oxygen and triptans for acute attacks, and verapamil for prevention.",Neurologist
"HIV/AIDS: A virus that attacks the body's immune system, specifically CD4 cells. Transmitted via bodily fluids. Symptoms start with flu-like illness, progressing to weight loss and opportunistic infections if untreated. Diagnosis is via antigen/antibody tests and viral load measurement. Treatment is Antiretroviral Therapy (ART), which suppresses the virus to undetectable levels, allowing patients to live normal lives.",Infectious Disease Specialist
"Viral Gastroenteritis (Stomach Flu): An intestinal infection marked by watery diarrhea, abdominal cramps, nausea or vomiting, and sometimes fever. Common causes are Norovirus and Rotavirus. Spread through contact or contaminated food/water. Diagnosis is usually clinical. Treatment is supportive, focusing on hydration and electrolyte replacement; antibiotics are ineffective against viruses.",Gastroenterologist
"Plantar Fasciitis: Inflammation of a thick band of tissue (plantar fascia) that connects the heel bone to the toes. Causes include overuse, obesity, and foot mechanics. Symptoms include stabbing pain near the heel, usually worst with the first steps in the morning. Diagnosis is clinical. Treatment involves stretching exercises, orthotics, NSAIDs, and in refractory cases, steroid injections.",Orthopedist
"Myasthenia Gravis: A chronic autoimmune neuromuscular disease that causes weakness in the skeletal muscles. Caused by antibodies blocking acetylcholine receptors. Symptoms include droopy eyelids (ptosis), double vision, and difficulty swallowing or breathing. Diagnosis is confirmed by blood tests for antibodies and nerve stimulation tests. Treatment includes anticholinesterase medications (pyridostigmine), corticosteroids, and thymectomy.",Neurologist
"Cushing's Syndrome: A condition that occurs from exposure to high cortisol levels for a long time. Causes include long-term steroid use or a pituitary tumor (Cushing's disease). Symptoms include a fatty hump between shoulders, a rounded face (moon face), and pink stretch marks. Diagnosis is via 24-hour urine cortisol or dexamethasone suppression test. Treatment depends on cause (e.g., surgery for tumors, tapering steroids).",Endocrinologist
"Varicose Veins: Gnarled, enlarged veins, most commonly appearing in the legs and feet. Caused by weak or damaged vein valves permitting backflow. Symptoms include dark purple veins, heavy feeling in legs, burning, and swelling. Diagnosis is by physical exam and Duplex Ultrasound. Treatment ranges from compression stockings to sclerotherapy or laser ablation procedures.",Vascular Surgeon
Benign Paroxysmal Positional Vertigo (BPPV): One of the most common causes of vertigo. Caused by calcium crystals (otoconia) dislodging into the semicircular canals of the inner ear. Symptoms include brief episodes of mild to intense dizziness triggered by specific changes in head position. Diagnosis is via the Dix-Hallpike test. Treatment involves canalith repositioning procedures like the Epley maneuver.,Otolaryngologist
"Sarcoidosis: An inflammatory disease characterized by the growth of tiny collections of inflammatory cells (granulomas) in any part of the body, most commonly the lungs and lymph nodes. Cause is unknown. Symptoms include persistent dry cough, shortness of breath, and reddish-purple skin bumps. Diagnosis involves chest X-ray and biopsy. Treatment often involves corticosteroids if organs are threatened, though some cases resolve spontaneously.",Pulmonologist
"Hemophilia A: A genetic disorder caused by missing or defective factor VIII, a clotting protein. It is X-linked recessive. Symptoms include unexplained and excessive bleeding from cuts, pain/swelling in joints (hemarthrosis), and large bruises. Diagnosis is by clotting factor assays. Treatment involves regular replacement therapy with clotting factor concentrates.",Hematologist
"Prostatitis: Swelling and inflammation of the prostate gland. Can be bacterial or chronic pelvic pain syndrome. Symptoms include painful or difficult urination, pain in the groin/pelvic area, and flu-like symptoms (if acute bacterial). Diagnosis involves urinalysis and digital rectal exam. Treatment for bacterial causes involves prolonged antibiotics; alpha-blockers are used for chronic pain.",Urologist
"Vitiligo: A disease that causes the loss of skin color in blotches. Occurs when pigment-producing cells (melanocytes) die or stop functioning. Symptoms include patchy loss of skin color, premature whitening of hair, and loss of color in mucous membranes. Diagnosis is clinical, sometimes with a Wood's lamp exam. Treatment includes corticosteroid creams, phototherapy (UVB), and depigmentation for extensive cases.",Dermatologist
"Pancreatic Cancer: Cancer that begins in the organ lying behind the lower part of the stomach. Risk factors include smoking and diabetes. Symptoms often appear late and include jaundice, dark urine, unintended weight loss, and back pain. Diagnosis is via CT scan, MRI, and EUS-guided biopsy. Treatment options are limited but include the Whipple procedure (surgery), chemotherapy, and radiation.",Oncologist
"Infectious Mononucleosis: Often called the kissing disease. The virus that causes mono is transmitted through saliva. Most often caused by the Epstein-Barr virus (EBV). Symptoms include extreme fatigue, fever, sore throat, and swollen lymph nodes in the neck. Diagnosis is via the Monospot test or antibody blood tests. Treatment is supportive: rest, fluids, and OTC pain relievers.",Infectious Disease Specialist
"Fibromyalgia: A disorder characterized by widespread musculoskeletal pain accompanied by fatigue, sleep, memory and mood issues. The mechanism involves central sensitization. Symptoms include dull ache all over the body and cognitive difficulties (fibro fog). Diagnosis is clinical based on widespread pain index. Treatment combines medications (antidepressants, anticonvulsants) with physical therapy and stress reduction.",Rheumatologist
"Alopecia Areata: An autoimmune disorder that causes hair to fall out, often in clumps the size and shape of a quarter. The immune system attacks hair follicles. Symptoms are smooth, round hairless patches on the scalp or body. Diagnosis is usually clinical. Treatment includes intralesional corticosteroid injections and topical minoxidil.",Dermatologist
"Conjunctivitis (Pink Eye): Inflammation or infection of the transparent membrane (conjunctiva) that lines the eyelid and covers the white part of the eyeball. Causes include viruses, bacteria, and allergens. Symptoms are redness, itchiness, and gritty feeling or discharge that forms a crust. Diagnosis is clinical. Treatment depends on cause: artificial tears for viral, antibiotic drops for bacterial, and antihistamines for allergic types.",Ophthalmologist
"Colorectal Cancer: Cancer that starts in the colon or rectum, often beginning as benign polyps. Risk factors include age, diet, and family history. Symptoms include a persistent change in bowel habits, rectal bleeding, and abdominal pain. Diagnosis is confirmed via colonoscopy and biopsy. Treatment involves surgery (colectomy), chemotherapy, and radiation therapy depending on the stage.",Oncologist
"Borderline Personality Disorder (BPD): A mental health disorder impacting the way a person thinks and feels about themselves and others. Causes involve environmental factors (trauma) and genetics. Symptoms include intense fear of abandonment, unstable relationships, impulsive behavior, and mood swings. Diagnosis is clinical based on DSM-5. Treatment primarily involves dialectical behavior therapy (DBT) and sometimes medications for symptom management.",Psychiatrist
"Strep Throat: A bacterial infection that can make the throat feel sore and scratchy. Caused by group A Streptococcus bacteria. Symptoms include sudden throat pain, pain when swallowing, fever, and swollen lymph nodes. Diagnosis is via Rapid Antigen Detection Test or throat culture. Treatment requires a course of antibiotics (penicillin or amoxicillin) to prevent complications like rheumatic fever.",Otolaryngologist
"Raynaud's Phenomenon: A condition causing some areas of the body, such as fingers and toes, to feel numb and cold in response to cold temperatures or stress. Caused by vasospasms narrowing small arteries. Symptoms include color changes in skin (white to blue to red) and stinging pain upon warming. Diagnosis is clinical. Treatment involves keeping warm and calcium channel blockers for severe cases.",Rheumatologist
"Ankylosing Spondylitis: An inflammatory arthritis affecting the spine and large joints. It is strongly associated with the HLA-B27 gene. Symptoms include chronic pain and stiffness in the lower back and hips, especially in the morning, which can lead to spinal fusion ('bamboo spine'). Diagnosis involves MRI of sacroiliac joints. Treatment includes NSAIDs, physical therapy, and biologics (TNF blockers).",Rheumatologist
"Bell's Palsy: Sudden weakness in the muscles on one half of the face. Caused by inflammation of the facial nerve (CN VII), often viral (Herpes Simplex). Symptoms include rapid onset of mild weakness to total paralysis on one side of the face and facial droop. Diagnosis is clinical after ruling out stroke. Treatment often includes corticosteroids (prednisone) and antiviral drugs.",Neurologist
"Impetigo: A common and highly contagious skin infection that mainly affects infants and children. Caused by Staphylococcus aureus or Streptococcus pyogenes. Symptoms include red sores on the face, especially around the nose and mouth, which burst and develop honey-colored crusts. Diagnosis is clinical. Treatment involves topical antibiotic cream (mupirocin) or oral antibiotics for widespread cases.",Dermatologist
"Hyperlipidemia (High Cholesterol): A condition characterized by high levels of lipids (fats) in the blood, including cholesterol and triglycerides. Risk factors include poor diet, obesity, and inactivity. It is generally asymptomatic but increases risk of heart disease and stroke. Diagnosis is via a lipid panel blood test. Treatment includes lifestyle changes and statins.",Cardiologist
"Aortic Stenosis: Narrowing of the valve in the large blood vessel branching off the heart (aorta). Causes include calcification with age or congenital heart defects. Symptoms include breathlessness, chest pain (angina), and fainting (syncope) upon exertion. Diagnosis is confirmed by Echocardiogram. Treatment for severe cases is valve replacement (SAVR or TAVR).",Cardiologist
Gestational Diabetes: Diabetes diagnosed for the first time during pregnancy (gestation). Caused by placental hormones blocking insulin action. Symptoms are often absent but can include thirst and fatigue. Diagnosis is via the Glucose Tolerance Test (GTT) between 24-28 weeks. Treatment focuses on diet and exercise; insulin or metformin is used if blood sugar remains high.,Obstetrician
"Testicular Cancer: Cancer in the testicles, rare overall but the most common cancer in American males between ages 15 and 35. Symptoms include a lump or enlargement in either testicle, a feeling of heaviness in the scrotum, and dull ache. Diagnosis is via ultrasound and tumor marker blood tests (AFP, beta-hCG). Treatment typically involves orchiectomy (removal of testicle) followed by surveillance or chemo/radiation.",Urologist
"Erectile Dysfunction (ED): The inability to get or keep an erection firm enough for sexual intercourse. Causes are physical (heart disease, diabetes) or psychological. Symptoms are persistent trouble getting an erection and reduced sexual desire. Diagnosis involves physical exam and blood tests (testosterone). Treatment includes PDE5 inhibitors (sildenafil, tadalafil), lifestyle changes, or implants.",Urologist
"Septic Arthritis: A painful infection in a joint that can come from germs traveling through the bloodstream or from a penetrating injury. Staphylococcus aureus is a common cause. Symptoms include extreme discomfort and difficulty using the affected joint, swelling, redness, and fever. Diagnosis is via joint fluid aspiration (arthrocentesis). Treatment is an emergency involving IV antibiotics and joint drainage.",Orthopedic Surgeon
"Measles (Rubeola): A highly contagious infectious disease caused by the measles virus. Symptoms include high fever, cough, runny nose, and Koplik's spots inside the mouth, followed by a full-body rash. Diagnosis is clinical and confirmed by IgM serology. Treatment is supportive (vitamin A, fluids); prevention is key via the MMR vaccine.",Infectious Disease Specialist
"Huntington's Disease: A rare, inherited disease that causes the progressive breakdown (degeneration) of nerve cells in the brain. Caused by a CAG repeat expansion in the HTT gene. Symptoms include involuntary jerking movements (chorea), muscle problems, and cognitive decline. Diagnosis is via genetic testing. Treatment is symptomatic (tetrabenazine for chorea); there is currently no cure.",Neurologist
"Gastritis: Inflammation of the protective lining of the stomach. Causes include infection with H. pylori, injury, regular use of NSAIDs, and excessive alcohol. Symptoms include gnawing or burning ache in the upper abdomen, nausea, and vomiting. Diagnosis is via upper endoscopy. Treatment involves antacids, H2 blockers, or proton pump inhibitors to reduce acid.",Gastroenterologist
"Lung Cancer (Non-Small Cell): The most common type of lung cancer. Major risk factor is smoking. Symptoms include a new cough that doesn't go away, coughing up blood, shortness of breath, and chest pain. Diagnosis is via CT scan and tissue biopsy. Treatment depends on stage and molecular markers, including surgery, radiation, chemotherapy, and immunotherapy.",Oncologist
"Clostridioides difficile (C. diff) Infection: An inflammation of the colon caused by the bacterium C. difficile. Often occurs after recent antibiotic use. Symptoms include watery diarrhea 10 to 15 times a day, severe abdominal cramping, and fever. Diagnosis is via stool toxin test. Treatment involves stopping the inciting antibiotic and starting oral vancomycin or fidaxomicin.",Infectious Disease Specialist
"Tennis Elbow (Lateral Epicondylitis): A painful condition that occurs when tendons in the elbow are overloaded, usually by repetitive motions of the wrist and arm. Symptoms include pain and burning on the outer part of the elbow and weak grip strength. Diagnosis is clinical. Treatment includes rest, ice, NSAIDs, physical therapy, and sometimes bracing.",Orthopedist
"Osteoarthritis (OA): The most common form of arthritis, occurring when the protective cartilage that cushions the ends of the bones wears down over time. Risk factors include age, obesity, and joint injury. Symptoms include pain, stiffness, tenderness, and loss of flexibility, most often in hands, knees, and hips. Diagnosis is via X-ray (joint space narrowing) and MRI. Treatment involves physical therapy, NSAIDs, and joint replacement surgery for end-stage disease.",Orthopedist
"Chlamydia: A common sexually transmitted infection (STI) caused by the bacterium Chlamydia trachomatis. Often asymptomatic, but can cause cervicitis, urethritis, and pelvic inflammatory disease (PID) if untreated. Symptoms include painful urination and discharge. Diagnosis is via nucleic acid amplification tests (NAAT) from urine or swab. Treatment consists of a course of antibiotics such as doxycycline or azithromycin.",Infectious Disease Specialist
"Narcolepsy: A chronic sleep disorder characterized by overwhelming daytime drowsiness and sudden attacks of sleep. Caused by a lack of the brain chemical hypocretin (orexin). Symptoms include excessive daytime sleepiness, cataplexy (sudden loss of muscle tone), and sleep paralysis. Diagnosis is via Polysomnography and MSLT. Treatment involves stimulants (modafinil) and antidepressants.",Neurologist
"Hepatitis B: A serious liver infection caused by the hepatitis B virus (HBV). Transmitted through contact with infectious body fluids. Symptoms range from mild illness to chronic liver failure, including jaundice, fatigue, and dark urine. Diagnosis is confirmed by serologic markers (HBsAg). Treatment for chronic cases involves antiviral drugs (entecavir, tenofovir); prevention is available via vaccination.",Hepatologist
"Bulimia Nervosa: An eating disorder characterized by episodes of binge eating followed by compensatory behaviors like vomiting (purging), excessive exercise, or laxative use. Driven by body image distortion. Symptoms include inflamed throat, worn tooth enamel, and dehydration. Diagnosis is clinical per DSM-5. Treatment combines nutritional counseling, psychotherapy (CBT), and SSRIs (fluoxetine).",Psychiatrist
"Spinal Stenosis: Narrowing of the spaces within the spine, which can put pressure on the nerves that travel through the spine. Most often occurs in the lower back and neck due to osteoarthritis. Symptoms include numbness, weakness, and pain in the legs that worsens with walking and improves with leaning forward. Diagnosis is confirmed by MRI or CT. Treatment includes physical therapy, steroid injections, and decompression surgery.",Spine Surgeon
"Cervical Cancer: Cancer arising from the cervix. Almost all cases are caused by Human Papillomavirus (HPV) infection. Early stages are asymptomatic; later symptoms include vaginal bleeding after intercourse, pelvic pain, and bloody discharge. Diagnosis is via Pap smear screening followed by colposcopy and biopsy. Treatment involves surgery (hysterectomy), radiation, and chemotherapy.",Gynecologic Oncologist
"Hiatal Hernia: A condition where the upper part of the stomach bulges through the large muscle separating the abdomen and chest (diaphragm). Causes include age-related muscle weakness or increased abdominal pressure. Symptoms include heartburn (GERD), regurgitation, and difficulty swallowing. Diagnosis is via barium swallow or endoscopy. Treatment involves acid-reducing medications; surgery is reserved for large, symptomatic hernias.",Gastroenterologist
"Aplastic Anemia: A rare condition in which the body stops producing enough new blood cells (pancytopenia). Caused by damage to the bone marrow from autoimmune attack, radiation, or toxins. Symptoms include fatigue, high risk of infection, and uncontrolled bleeding. Diagnosis is via bone marrow biopsy. Treatment involves immunosuppressants, blood transfusions, and bone marrow stem cell transplant.",Hematologist
"Myopia (Nearsightedness): A vision condition in which people can see objects near to them clearly, but objects farther away are blurry. Caused by the eyeball being too long or the cornea being too curved. Symptoms include eyestrain, headaches, and squinting. Diagnosis is via a standard refraction exam. Treatment includes corrective lenses (glasses/contacts) or refractive surgery (LASIK).",Ophthalmologist
"Rabies: A deadly virus spread to people from the saliva of infected animals. The virus infects the central nervous system. Symptoms start with fever and progress to agitation, hydrophobia (fear of water), confusion, and paralysis. Diagnosis is often post-mortem in animals; human diagnosis uses skin/saliva tests. Treatment is post-exposure prophylaxis (vaccine + immunoglobulin) immediately after a bite; it is almost always fatal once symptoms appear.",Infectious Disease Specialist
"Periodontitis: A serious gum infection that damages the soft tissue and destroys the bone that supports the teeth. Caused by poor oral hygiene and plaque accumulation. Symptoms include swollen/puffy gums, bleeding while brushing, bad breath, and loose teeth. Diagnosis is via dental exam measuring pocket depth. Treatment involves scaling and root planing, antibiotics, and flap surgery.",Periodontist
"Hypoglycemia: A condition in which blood sugar (glucose) level is lower than standard range. Common in diabetics taking too much insulin. Symptoms include shakiness, sweating, confusion, irregular heart rhythm, and dizziness. Diagnosis is blood glucose < 70 mg/dL. Treatment involves immediate consumption of high-sugar foods or drinks (15-15 rule) or glucagon injection for severe cases.",Endocrinologist
Varicocele: An enlargement of the veins within the loose bag of skin that holds the testicles (scrotum). Caused by valve failure in the pampiniform plexus. Symptoms include a dull ache in the testicle or a mass that feels like a 'bag of worms'. Diagnosis is clinical and confirmed by ultrasound. Treatment is usually surgical repair (varicocelectomy) or embolization if it causes pain or infertility.,Urologist
"Pleural Effusion: A buildup of fluid between the layers of tissue that line the lungs and chest cavity. Causes include heart failure, pneumonia, and cancer. Symptoms include chest pain, dry cough, and shortness of breath (dyspnea). Diagnosis is via Chest X-ray or CT. Treatment focuses on the underlying cause and therapeutic thoracentesis (draining fluid) to relieve breathing.",Pulmonologist
"Panic Disorder: A type of anxiety disorder characterized by repeated, unexpected panic attacks (intense fear). Causes include genetics and stress. Symptoms involve rapid heart rate, sweating, trembling, shortness of breath, and a feeling of impending doom. Diagnosis is based on DSM-5 criteria. Treatment includes cognitive behavioral therapy (CBT) and medications like SSRIs or benzodiazepines.",Psychiatrist
"Tinea Pedis (Athlete's Foot): A contagious fungal infection that affects the skin on the feet. Caused by dermatophytes that thrive in damp environments. Symptoms include a scaly red rash, stinging, and burning between the toes. Diagnosis is typically clinical or via KOH preparation. Treatment involves over-the-counter topical antifungal creams (terbinafine, clotrimazole).",Dermatologist
"Hemochromatosis: An inherited disorder that causes the body to absorb too much iron from the food you eat. The excess iron is stored in organs, especially the liver, heart, and pancreas. Symptoms include joint pain, abdominal pain, fatigue, and darkening of skin. Diagnosis is via transferrin saturation and ferritin blood tests, and genetic testing (HFE gene). Treatment is regular phlebotomy (blood removal).",Hematologist
"Infectious Endocarditis: An infection of the heart's inner lining (endocardium), usually involving the heart valves. Bacteria enter the bloodstream and attach to damaged areas of the heart. Symptoms include fever, heart murmur, fatigue, and Janeway lesions. Diagnosis involves Duke criteria (blood cultures and echocardiogram). Treatment requires high-dose intravenous antibiotics for several weeks and possibly valve surgery.",Cardiologist
"Delirium: A serious disturbance in mental abilities that results in confused thinking and reduced awareness of the environment. Causes include severe illness, medication toxicity, infection (UTI), or surgery. Symptoms are rapid onset of confusion, disorientation, and hallucination. Diagnosis is clinical (CAM assessment). Treatment involves addressing the underlying trigger and supportive care.",Geriatrician
"Amyotrophic Lateral Sclerosis (ALS): A progressive neurodegenerative disease that affects nerve cells in the brain and spinal cord, leading to loss of muscle control. The cause is largely unknown (sporadic), though some cases are genetic. Symptoms include muscle twitching, weakness in a limb, and slurred speech, progressing to paralysis. Diagnosis is via EMG and exclusion of other conditions. Treatment is supportive; Riluzole and Edaravone can slightly slow progression.",Neurologist
"Uterine Fibroids (Leiomyomas): Noncancerous growths of the uterus that often appear during childbearing years. Causes involve genetic changes and hormones (estrogen/progesterone). Symptoms include heavy menstrual bleeding, pelvic pain, and frequent urination. Diagnosis is confirmed by pelvic ultrasound. Treatment ranges from observation and hormonal therapy (GnRH agonists) to surgery (myomectomy or hysterectomy).",Gynecologist
Pertussis (Whooping Cough): A highly contagious respiratory tract infection caused by the bacterium Bordetella pertussis. Symptoms include a runny nose followed by severe hacking cough spells that end with a high-pitched 'whoop' sound. Diagnosis is confirmed by PCR testing of a nasopharyngeal swab. Treatment involves macrolide antibiotics (azithromycin) to reduce transmission; prevention is via the DTaP vaccine.,Pediatrician
"Retinal Detachment: An emergency situation in which the retina pulls away from the layer of blood vessels that provides it with oxygen. Causes include trauma, extreme myopia, or aging. Symptoms include the sudden appearance of floaters, flashes of light, and a curtain-like shadow over the visual field. Diagnosis is via dilated fundus examination. Treatment requires immediate surgery (vitrectomy, scleral buckle) to preserve vision.",Ophthalmologist
"Pericarditis: Swelling and irritation of the thin, sac-like membrane surrounding the heart (pericardium). Often caused by viral infections or autoimmune disorders. Symptoms include sharp, stabbing chest pain behind the breastbone that gets better when sitting up and leaning forward. Diagnosis involves ECG changes and friction rub on auscultation. Treatment typically involves NSAIDs and colchicine.",Cardiologist
"Syphilis: A bacterial infection usually spread by sexual contact. Caused by Treponema pallidum. Symptoms progress in stages: a painless sore (chancre), followed by a body rash, and potentially leading to damage to the brain/nerves (neurosyphilis) if untreated. Diagnosis is via blood tests (RPR, VDRL) and specific antibody tests. Treatment is a specific dosage of penicillin injection.",Infectious Disease Specialist
"Polycystic Kidney Disease (PKD): An inherited disorder in which clusters of cysts develop primarily within the kidneys, causing them to enlarge and lose function over time. Symptoms include high blood pressure, back or side pain, and blood in urine. Diagnosis is via ultrasound or CT scan and genetic testing. Treatment focuses on controlling blood pressure; end-stage disease requires dialysis or transplant.",Nephrologist
"Non-Hodgkin Lymphoma: A cancer that starts in white blood cells called lymphocytes. It is more common than Hodgkin lymphoma. Symptoms include swollen lymph nodes, fever, night sweats, and weight loss. Diagnosis is confirmed by lymph node biopsy. Treatment depends on the subtype (aggressive vs. indolent) and usually involves chemotherapy (e.g., CHOP regimen) and immunotherapy (rituximab).",Oncologist
"Gastroparesis: A condition that affects the stomach muscles and prevents proper stomach emptying. Common in long-standing diabetes (diabetic gastroparesis) due to vagus nerve damage. Symptoms include nausea, vomiting undigested food, and early satiety. Diagnosis is via Gastric Emptying Study (scintigraphy). Treatment involves dietary changes (low fiber/fat) and motility agents like metoclopramide.",Gastroenterologist
"Seborrheic Dermatitis: A common skin condition that mainly affects the scalp (dandruff). Caused by yeast (Malassezia), genetics, and stress. Symptoms include scaly patches, red skin, and stubborn dandruff. Diagnosis is clinical. Treatment involves medicated shampoos (ketoconazole, selenium sulfide) and topical corticosteroids or antifungal creams.",Dermatologist
"Pre-eclampsia: A pregnancy complication characterized by high blood pressure and signs of damage to another organ system, most often the liver and kidneys. Occurs after 20 weeks of gestation. Symptoms include severe headaches, vision changes, and swelling. Diagnosis is via BP readings and urine protein tests. Treatment involves close monitoring and medication; delivery of the baby is the only cure.",Obstetrician
"Cholera: An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae bacteria. Spread by contaminated water/food. Symptoms include profuse watery diarrhea ('rice-water stools'), vomiting, and leg cramps leading to rapid dehydration. Diagnosis is via stool culture or rapid dipstick test. Treatment is immediate rehydration (Oral Rehydration Salts) and sometimes antibiotics.",Infectious Disease Specialist
"Croup (Laryngotracheobronchitis): An upper airway infection that blocks breathing and has a distinctive barking cough. Usually caused by a virus (Parainfluenza). Symptoms include barking cough, stridor (noisy breathing), and hoarseness. Diagnosis is clinical; X-ray may show 'steeple sign'. Treatment usually involves cool air, oral steroids (dexamethasone), and nebulized epinephrine for severe cases.",Pediatrician
"Duchenne Muscular Dystrophy (DMD): A severe type of muscular dystrophy that primarily affects boys. Caused by a genetic mutation preventing the production of dystrophin. Symptoms include frequent falls, difficulty rising from a lying position (Gowers' sign), and progressive muscle wasting. Diagnosis is via CK levels and genetic testing. Treatment is supportive using corticosteroids to slow muscle degeneration.",Neurologist
"Dissociative Identity Disorder (DID): A severe form of dissociation, a mental process which produces a lack of connection in a person's thoughts, memories, feelings, actions, or sense of identity. Usually associated with severe childhood trauma. Symptoms include the presence of two or more distinct personality states. Diagnosis is clinical. Treatment is long-term psychotherapy.",Psychiatrist
"Ehlers-Danlos Syndrome (EDS): A group of inherited disorders that affect your connective tissues — primarily your skin, joints, and blood vessel walls. Symptoms include overly flexible joints (hypermobility) and stretchy, fragile skin. Diagnosis is via physical exam (Beighton score) and genetic testing. Treatment is supportive, focusing on physical therapy and protecting joints from injury.",Rheumatologist
"Achilles Tendinitis: Overuse injury of the Achilles tendon, the band of tissue that connects calf muscles at the back of the lower leg to the heel bone. Common in runners. Symptoms include pain and stiffness along the Achilles tendon in the morning and pain after activity. Diagnosis is clinical. Treatment involves R.I.C.E. (Rest, Ice, Compression, Elevation) and eccentric strengthening exercises.",Orthopedist
"Hyperparathyroidism: An excess of parathyroid hormone in the bloodstream due to overactivity of one or more of the parathyroid glands. Symptoms include fragile bones (osteoporosis), kidney stones, excessive urination, and abdominal pain. Diagnosis is via blood tests showing high calcium and high PTH levels. Treatment is usually surgical removal of the overactive gland(s).",Endocrinologist
"Kawasaki Disease: A condition that causes inflammation in the walls of some blood vessels in the body. It most often affects infants and young children. Symptoms include high fever > 5 days, 'strawberry tongue', red eyes, and peeling skin on hands/feet. Diagnosis is clinical based on criteria. Treatment involves IVIG (Intravenous Immunoglobulin) and aspirin to prevent coronary artery aneurysms.",Pediatric Cardiologist
"Gingivitis: A common and mild form of gum disease (periodontal disease) that causes irritation, redness, and swelling (inflammation) of your gingiva. Caused by plaque buildup. Symptoms include dusky red gums that bleed easily when brushing. Diagnosis is via dental exam. Treatment involves professional dental cleaning and improved oral hygiene.",Dentist
"Ulcerative Colitis: A chronic, inflammatory bowel disease (IBD) that causes inflammation and ulcers in the digestive tract, specifically the innermost lining of the large intestine and rectum. Symptoms include diarrhea, often with blood or pus, abdominal pain, and fatigue. Diagnosis is via colonoscopy with tissue biopsy. Treatment involves anti-inflammatory drugs (aminosalicylates), corticosteroids, and biologic therapies (infliximab).",Gastroenterologist
"Prostate Cancer: Cancer that occurs in the prostate. It is one of the most common types of cancer in men. Early stages are often asymptomatic; advanced symptoms include trouble urinating, blood in semen, and bone pain. Diagnosis is via PSA blood test and transrectal ultrasound-guided biopsy. Treatment options include active surveillance, surgery (prostatectomy), radiation therapy, and hormone therapy.",Oncologist
"Transient Ischemic Attack (TIA): Often called a mini-stroke, it is a temporary period of symptoms similar to those of a stroke. Caused by a temporary disruption of blood supply to part of the brain. Symptoms include sudden weakness, numbness, or slurred speech that resolves within 24 hours. Diagnosis is clinical with imaging (MRI) to rule out stroke. Treatment focuses on preventing future strokes using antiplatelets and statins.",Neurologist
Gonorrhea: A sexually transmitted infection caused by the bacterium Neisseria gonorrhoeae. It infects mucous membranes. Symptoms include painful urination and abnormal discharge from the penis or vagina; it can be asymptomatic. Diagnosis is via NAAT (Nucleic Acid Amplification Test). Treatment requires dual antibiotic therapy or a single high dose of ceftriaxone to combat resistance.,Infectious Disease Specialist
"Adhesive Capsulitis (Frozen Shoulder): A condition characterized by stiffness and pain in the shoulder joint. The capsule thickens and tightens around the shoulder joint. Symptoms develop in stages: freezing (pain), frozen (stiffness), and thawing. Diagnosis is clinical. Treatment involves physical therapy, NSAIDs, and corticosteroid injections to improve range of motion.",Orthopedist
"Trigeminal Neuralgia: A chronic pain condition affecting the trigeminal nerve, which carries sensation from the face to the brain. Caused by blood vessel compression of the nerve. Symptoms include episodes of severe, shooting, or jabbing pain that may feel like an electric shock on one side of the face. Diagnosis is clinical and MRI. Treatment involves anticonvulsants (carbamazepine) or surgery.",Neurologist
